"Test Case ID","Feature","Scope","Priority","Android Version","Test Category","Test Type","Scenario","Preconditions","Manual Steps","Expected Result","Edge Cases","Regression","Accessibility","Performance","Battery","Memory","Security","Google Play","Status","Evidence"
"TC-0001","App startup and bootstrap","Implemented","P1","Android 10 / API 29","Functional","Happy path","Core workflow succeeds with valid user input. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: No invalid data; clean app state.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Expected result is produced without data loss, crash, or unexpected prompt. Verify this specifically for App startup and bootstrap.","Valid input only.","Yes","Verify labels and primary action are announced.","Record baseline duration.","No sustained background work.","Observe peak memory for baseline.","No unauthorized path or data exposure.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0002","App startup and bootstrap","Implemented","P1","Android 11 / API 30","Regression","Repeat operation","Repeat the same operation three times. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Feature completed once successfully.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Each run is deterministic; no duplicate artifacts, stale state, or cumulative error appears. Verify this specifically for App startup and bootstrap.","Repeated use and existing outputs.","Yes","Focus remains predictable between runs.","Compare run times for drift.","No additional wakeups after each run.","Memory returns near baseline.","No stale file or sensitive log accumulation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0003","App startup and bootstrap","Implemented","P2","Android 12 / API 31","Edge Case","Cancel action","Cancel at the first available cancellation point. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Operation is in progress.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Operation stops or becomes cooperatively cancelled; UI remains usable and partial output is cleaned according to policy. Verify this specifically for App startup and bootstrap.","Cancel before meaningful progress.","Yes","Cancellation is announced clearly.","Measure cancellation latency.","No work continues unexpectedly.","No retained buffer after cancellation.","Partial output is inaccessible and removed safely.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0004","App startup and bootstrap","Implemented","P2","Android 12L / API 32","Lifecycle","Back navigation","Use system/back navigation during the flow. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Feature screen is open.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Navigation is predictable; no crash, duplicate screen, or corrupted state occurs. Verify this specifically for App startup and bootstrap.","Back during an active or idle state.","Yes","Back order and focus are logical.","No transition jank.","No orphaned work after leaving.","Owned resources are released.","No output is exposed by navigation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0005","App startup and bootstrap","Implemented","P2","Android 13 / API 33","Accessibility","Configuration change","Rotate or trigger the supported configuration change. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Feature is open with visible state.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. State is preserved or safely restored; layout remains usable and no duplicate work starts. Verify this specifically for App startup and bootstrap.","Change during idle and active states.","Yes","Reading order remains valid.","No visible frame stall.","No repeated initialization loop.","No duplicate decoded buffers.","No state or file corruption.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0006","App startup and bootstrap","Implemented","P2","Android 14 / API 34","Lifecycle","Background and resume","Background the app and resume it. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Feature is open; operation may be active.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app resumes safely, reflects true operation state, and does not lose or duplicate user work. Verify this specifically for App startup and bootstrap.","Background at early, middle, and late progress.","Yes","Resume state is announced where needed.","Record resume latency.","No unauthorized background processing.","Memory is stable across pause/resume.","Temporary files remain policy-safe.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0007","App startup and bootstrap","Implemented","P0","Android 15 / API 35","Regression","Process death recovery","Terminate the app process and relaunch. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: App has selected input or persisted settings.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app does not crash; documented recoverable data is restored and incomplete work is handled safely. Verify this specifically for App startup and bootstrap.","Kill during picker, compression, save, and share states.","Yes","Startup and recovery announcements are clear.","Measure cold recovery.","No restart loop or orphan work.","No leaked native resources.","No unauthorized recovery path.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0008","App startup and bootstrap","Implemented","P1","Android 16 / API 36","Edge Case","Invalid input","Provide malformed or invalid input for the feature. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: A safe invalid fixture is available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The input is rejected with a useful, localized error; the app remains usable and no unsafe write occurs. Verify this specifically for App startup and bootstrap.","Malformed metadata, ranges, or paths.","Yes","Error is announced to screen readers.","Validation completes without freeze.","No retry storm.","Invalid buffers are released.","Input cannot traverse or expose files.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0009","App startup and bootstrap","Implemented","P2","Android 10 / API 29","Functional","Empty state","Open the feature with no available data. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Fresh install or cleared local state.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. A truthful empty state appears with a clear next action and no fabricated metrics. Verify this specifically for App startup and bootstrap.","No history, no selection, or no exports.","No","Empty state is labeled and focusable.","Initial render is responsive.","No polling for nonexistent data.","No unnecessary allocation.","No private data appears.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0010","App startup and bootstrap","Implemented","P1","Android 11 / API 30","Memory","Large input","Use a large supported input. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Large fixture is available; sufficient free storage.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app completes or fails gracefully without OOM, ANR, corruption, or unsafe partial output. Verify this specifically for App startup and bootstrap.","At least 100 MiB where device permits.","Yes","Progress remains understandable.","Record duration and frame timing.","Thermal/work policy is observed.","Record peak native/Dart memory.","Output path remains authorized.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
